city,comments,name,prices,quality_price,rating,services,stars,id,rank
Bacalar,108,Mykonos Hotel,550,8.8,8.3,Papel higiénico # Toallas # Baño privado # WC # Artículos de aseo gratis # Ducha # Ropa de cama # Armario # Vistas al jardín # Zona de comedor exterior # Terraza # Patio # Jardín # Enchufe cerca de la cama # Parking en un garaje # Servicio de entrega de comestiblesDe pago # Registro de entrada / salida privado # Guardaequipaje # Información turística # Cámaras de seguridad fuera del alojamiento # Zona de fumadores # Aire acondicionado # Mosquitera # Entrada privada # Ventilador # Acceso a pisos superiores solo mediante escaleras # Inglés # Español,0,11,11
Bacalar,419,Xibalba in town,1200 # 450,8.5,8.2,Toallas de playa/piscina # Baño al aire libre # Mobiliario exterior # Terraza / solárium # Terraza # Cocina compartida # Fruta # Parking en la calle # Información turística # Registro de entrada y salida exprés # Recepción 24 horas # Servicio de habitaciones # Proporciona factura # Seguridad 24 horas # Zona de fumadores # Aire acondicionado # Habitaciones sin humo # Inglés # Español,0,12,12
Bacalar,295,Hotel Casa Ariana,720 # 770 # 810 # 860 # 900 # 905 # 945 # 900,8.6,8.4,Papel higiénico # Toallas # Bañera o ducha # Baño privado # WC # Artículos de aseo gratis # Ducha # Armario # Vistas a un patio interior # Vistas al jardín # Patio # Nevera # Enchufe cerca de la cama # TV de pantalla plana # Canales por cable # Canales vía satélite # TV # Parking en la calle # Guardaequipaje # Información turística # Proporciona factura # Extintores # Detectores de humo # Zona de fumadores # Aire acondicionado # Habitaciones sin humo # Toda la unidad en la planta baja # Inglés # Español,2,13,13
Bacalar,551,Yaxche Centro Hostal y Camping,414 # 296 # 690 # 385,8.1,7.8,Papel higiénico # Toallas / sábanas (por un suplemento) # Ducha # Ropa de cama # Vistas a un patio interior # Vistas al jardín # Zona de comedor exterior # Muebles de exterior # Barbacoa # Patio # Jardín # Cocina compartida # Mesa de comedor # Utensilios de cocina # Zona de cocina # Happy hour # Tours a pieDe pago # Noches de cine # Ruta de bares # Entretenimiento nocturno # Discoteca / DJ # SenderismoFuera del alojamientoDe pago # Alquiler de bicicletas (de pago) # Karaoke # Ping pong # Zona de comedor # Bar # Parking vigilado # Zona TV / salón de uso compartido # Juegos de mesa / puzles # Ventilador # Plancha para ropa # Inglés # Español,0,14,14
Bacalar,206,Vias Maya Bacalar Hotel,500 # 600 # 500 # 600 # 500 # 600 # 500 # 500 # 600 # 700 # 800 # 500 # 600 # 700 # 500 # 600 # 700 # 500 # 500 # 500 # 500 # 500 # 500,8.4,7.9,Papel higiénico # Baño privado # Artículos de aseo gratis # Zona de fumadores # Habitaciones sin humo # Aire acondicionado # Español,0,16,16
Bacalar,9,Villas Chital Bacalar,972 # 1118 # 1296 # 1490 # 1458 # 1652 # 1620 # 1814,6.9,6.9,Piscina pequeña # Papel higiénico # Baño privado # WC # Artículos de aseo gratis # Vistas al jardín # Patio # Jardín # Utensilios de cocina # Zona de cocina # Zona de comedor # Aire acondicionado # Español,3,17,17
Bacalar,193,Hotel Pancho Villas Bacalar,1862 # 2549 # 4248 # 1971 # 2327 # 1862 # 1971 # 2549 # 4248 # 1862 # 1971 # 2327,7.9,8.0,Masaje corporal completo # Masaje en pareja # Masaje de espalda # Masajes # Spa y centro de bienestarDe pago # Papel higiénico # Baño privado # Artículos de aseo gratis # Bañera # Armario # Mobiliario exterior # Terraza / solárium # Terraza # Jardín # Escritorio # TV de pantalla plana # Canales por cable # Cafetería en el alojamiento # Fruta # Menú para niños # Snack-bar # Desayuno en la habitación # Restaurante # Parking en la calle # Servicio de traslado al aeropuertoDe pago # Proporciona factura # Registro de entrada / salida privado # Información turística # Juegos de mesa / puzles # Servicio de limpieza diario # Extintores # Cámaras de seguridad fuera del alojamiento # Cámaras de seguridad en las zonas comunitarias # Detectores de humo # Caja fuerte # Traslado aeropuerto (de pago) # Servicio de traslado (de pago) # Aire acondicionado # Mosquitera # Alquiler de coches # Habitaciones sin humo # Servicio de habitaciones # Español,4,18,18
Bacalar,130,Casa & Beach Club Yunuem,900 # 1000 # 315 # 350 # 315 # 350 # 315 # 350,7.2,7.4,Toallas # Vistas al lago # Zona de pícnic # Mobiliario exterior # Terraza / solárium # Terraza # Jardín # Cocina compartida # Tours en bici # Parking en la calle # Parking vigilado # Servicio de limpieza diario # Zona TV / salón de uso compartido # Plancha para pantalones # Registro de entrada / salida privado # Guardaequipaje # Información turística # Recepción 24 horas # Juegos de mesa / puzles # Extintores # Cámaras de seguridad fuera del alojamiento # Cámaras de seguridad en las zonas comunitarias # Seguridad 24 horas # Zona de fumadores # Aire acondicionado # Habitaciones familiares # Habitaciones sin humo # Inglés # Español,0,19,19
Bacalar,11,Departamentos Maculi,1067 # 1130 # 1255 # 1004 # 1067 # 1130 # 1255 # 1004,7.5,7.7,Papel higiénico # Toallas # Baño privado # Armario # Balcón # Terraza # Mesa de comedor # Utensilios de cocina # Cocina # Microondas # Nevera # Vistas # TV de pantalla plana # Canales por cable # TV # Aire acondicionado # Prohibido fumar en todo el alojamiento # Habitaciones familiares # Español,3,21,21
Bacalar,3,Xoot Kaana Villa Vista Laguna,5738 # 6056 # 6375 # 5100,5.8,6.0,Bañera de hidromasaje / jacuzzi # Armario # Papel higiénico # Toallas # Baño privado # WC # Artículos de aseo gratis # Secador de pelo # Bañera # Ducha # Perchero # Situado frente a la playa # Zona privada de playa # Terraza # Jardín # Bar # Tetera / cafetera # Playa # Vistas al lago # Recepción 24 horas # Aire acondicionado # Calefacción # Habitaciones familiares # Inglés # Español,0,22,22
Bacalar,134,La Kinta Hotel,1580 # 1780 # 1980,8.6,8.3,Masaje corporal completoDe pago # Masaje de manosDe pago # Masaje de cabezaDe pago # Masaje en parejaDe pago # Masaje de piesDe pago # Masaje de cuelloDe pago # Masaje de espaldaDe pago # Toallas de playa/piscina # Baño público # MasajesDe pago # Papel higiénico # Toallas # Toallas / sábanas (por un suplemento) # Bañera o ducha # Baño privado # Artículos de aseo gratis # Ducha # Armario # Vistas a un patio interior # Vistas al jardín # Zona de pícnic # Mobiliario exterior # Patio # Terraza # Jardín # Productos de limpieza # Tendedero # SnorkelFuera del alojamientoDe pago # CiclismoFuera del alojamiento # SenderismoFuera del alojamientoDe pago # TV de pantalla plana # Canales por cable # Canales vía satélite # TV # Cafetería en el alojamiento # FrutaDe pago # Vino / champánDe pago # Menú para niñosDe pago # Restaurante # Parking adaptado para personas de movilidad reducida # Parking en la calle # Proporciona factura # Servicio de conserjería # Información turística # Recepción 24 horas # Juegos de mesa / puzles # Juegos de mesa / puzles # Servicio de limpieza diario # Plancha para pantalones # Servicio de lavanderíaDe pago # Fax / fotocopiadoraDe pago # Extintores # Cámaras de seguridad fuera del alojamiento # Cámaras de seguridad en las zonas comunitarias # Seguridad 24 horas # Caja fuerte # Zona de fumadores # Aire acondicionado # Prohibido fumar en todo el alojamiento # Mosquitera # Almuerzos para llevar # Ventilador # Habitaciones familiares # Habitaciones sin humo # Plancha para ropa # Servicio de habitaciones # Toda la unidad accesible en silla de ruedas # Toda la unidad en la planta baja # Inglés # Español,0,23,23
Bacalar,60,Toto Blue Hotel Boutique,2177 # 2532 # 3729 # 4143 # 3936 # 3027,7.1,7.4,Masaje corporal completoDe pago # Masaje de manosDe pago # Masaje de cabezaDe pago # Masaje en parejaDe pago # Masaje de piesDe pago # Masaje de cuelloDe pago # Masaje de espaldaDe pago # Baño público # MasajesDe pago # Papel higiénico # Toallas # Toallas / sábanas (por un suplemento) # Baño privado # WC # Artículos de aseo gratis # Secador de pelo # Ducha # Ropa de cama # Armario # Mobiliario exterior # Terraza / solárium # Terraza # Jardín # Productos de limpieza # Enchufe cerca de la cama # Música / espectáculos en directo # Tour o clase sobre cultura localDe pago # Galerías de arte temporalesFuera del alojamientoDe pago # TV de pantalla plana # Canales por cable # Canales vía satélite # TV # Canales de pago # Cafetería en el alojamiento # FrutaDe pago # Vino / champánDe pago # Menús para dietas especiales (bajo petición) # Desayuno en la habitación # Registro de entrada / salida privado # Servicio de conserjería # Guardaequipaje # Información turística # Registro de entrada y salida exprés # Recepción 24 horas # Servicio de limpieza diario # Plancha para pantalones # Servicio de planchadoDe pago # Servicio de lavanderíaDe pago # Fax / fotocopiadoraDe pago # Salas de reuniones / banquetesDe pago # Extintores # Cámaras de seguridad fuera del alojamiento # Cámaras de seguridad en las zonas comunitarias # Seguridad 24 horas # Boles para mascotas # Zona TV / salón de uso compartido # Servicio de traslado (de pago) # Aire acondicionado # Prohibido fumar en todo el alojamiento # Acceso al salón executive # Alquiler de coches # Habitaciones familiares # Adaptado personas de movilidad reducida # Servicio de habitaciones # Inglés # Español,4,24,24
Bacalar,94,Hotel Makech,1100 # 1265 # 1320 # 1518 # 1485 # 1683 # 1650 # 1848,8.4,8.3,Papel higiénico # Toallas # Baño privado # Ducha # Armario # Vistas a la piscina # Vistas al jardín # Balcón # Terraza # Jardín # TV de pantalla plana # Canales por cable # TV # Aire acondicionado # Habitaciones familiares # Habitaciones sin humo # Español,3,25,25
Bacalar,496,Hotel Awazul Bacalar,899 # 989 # 999 # 1099 # 3213 # 3570 # 3927 # 1682 # 1699 # 1869 # 1529 # 1889 # 2099 # 2309,6.7,6.9,Baño público # Gimnasio # Papel higiénico # Toallas # Bidet # Toallas / sábanas (por un suplemento) # Aseo adicional # Bañera o ducha # Baño privado # WC # Artículos de aseo gratis # Ducha # Ropa de cama # Mobiliario exterior # Zona de comedor exterior # Muebles de exterior # Terraza / solárium # Zona privada de playa # Terraza # Jardín # Enchufe cerca de la cama # Playa # Instalaciones para deportes acuáticos en el alojamientoDe pago # Zona de comedor # TV de pantalla plana # Canales vía satélite # TV # Vino / champánDe pago # Bar # Restaurante # Parking en la calle # Servicio de limpieza diario # Información turística # Recepción 24 horas # Salas de reuniones / banquetesDe pago # Servicio de habitaciones # Proporciona factura # Extintores # Cámaras de seguridad fuera del alojamiento # Cámaras de seguridad en las zonas comunitarias # Detectores de humo # Seguridad 24 horas # Zona de fumadores # Aire acondicionado # Mosquitera # Suelo de baldosa / mármol # Entrada privada # Habitaciones familiares # Habitaciones sin humo # Inglés # Español # Francés,0,26,26
Bacalar,14,Cabañas La Fortuna Bacalar,1036 # 1036,8.8,8.2,Baño privado # Terraza # Jardín # Parking en un garaje # Servicio de traslado al aeropuerto # Servicio de recogida en el aeropuerto # Traslado aeropuerto (de pago) # Recepción 24 horas # Aire acondicionado # Habitaciones sin humo # Español,0,27,27
Bacalar,134,Cabanas Luxury,2575 # 2884 # 3296 # 3708 # 3914 # 4120,6.8,7.4,Toallas de playa/piscina # Tumbonas/sillas de playa # Masaje corporal completoDe pago # Zona de spa / relajación # Instalaciones de spa # Sombrillas # Tumbonas/sillas de playa # Toallas de playa/piscina # Baño público # Bañera de hidromasaje / jacuzzi # MasajesDe pago # Papel higiénico # Toallas # Toallas / sábanas (por un suplemento) # Baño privado # WC # Artículos de aseo gratis # Ropa de cama # Vistas al jardín # Zona de pícnic # Mobiliario exterior # Terraza / solárium # Terraza # Jardín # Happy hourDe pago # Cenas temáticasDe pago # SnorkelFuera del alojamiento # Cafetería en el alojamiento # FrutaDe pago # Vino / champánDe pago # Snack-bar # Bar # Parking vigilado # Servicio de limpieza diario # Zona TV / salón de uso compartido # Plancha para pantalones # Registro de entrada / salida privado # Información turística # Recepción 24 horas # Servicio de habitaciones # Proporciona factura # Juegos de mesa / puzles # Extintores # Cámaras de seguridad fuera del alojamiento # Cámaras de seguridad en las zonas comunitarias # Seguridad 24 horas # Zona de fumadores # Aire acondicionado # Habitaciones familiares # Habitaciones sin humo # Español,0,28,28
Bacalar,87,Casa Árabe,1377 # 1530 # 1742 # 1935 # 2479 # 2754 # 2754 # 3060 # 3353 # 3726 # 3540 # 3933 # 3726 # 4140 # 2187 # 2430,7.5,8.2,Abierta todo el año # Adecuada para niños # Toallas de playa/piscina # Piscina infinita # Piscina pequeña # Zona poco profunda # Tumbonas/sillas de playa # Toallas de playa/piscina # Baño público # Papel higiénico # Toallas # Toallas / sábanas (por un suplemento) # Baño privado # WC # Artículos de aseo gratis # Ducha # Ropa de cama # Zona de pícnic # Mobiliario exterior # Situado frente a la playa # Zona de comedor exterior # Terraza / solárium # Zona privada de playa # Terraza # Jardín # Cocina compartida # Hervidor eléctrico # Enchufe cerca de la cama # Perchero # Música / espectáculos en directoDe pago # Cenas temáticasDe pago # Tours en biciDe pago # Playa # Instalaciones para deportes acuáticos en el alojamientoDe pago # SnorkelDe pago # TV de pantalla plana # Canales por cable # TV # Fruta # Vino / champánDe pago # Snack-bar # Bar # Restaurante # Servicio de traslado al aeropuertoDe pago # Servicio de recogida en el aeropuertoDe pago # Tarjetas de transporte públicoDe pago # Registro de entrada / salida privado # Información turística # Registro de entrada y salida exprés # Recepción 24 horas # Servicio de limpieza diario # Servicio de lavanderíaDe pago # Salas de reuniones / banquetesDe pago # Extintores # Cámaras de seguridad fuera del alojamiento # Cámaras de seguridad en las zonas comunitarias # Seguridad 24 horas # Boles para mascotas # Servicio de entrega de comestiblesDe pago # Zona TV / salón de uso compartido # Traslado aeropuerto (de pago) # Servicio de traslado (de pago) # Zona de fumadores # Habitaciones hipoalergénicas # Mosquitera # Alquiler de coches # Habitaciones familiares # Habitaciones sin humo # Aire acondicionado # Servicio de habitaciones # Inglés # Español,0,29,29
Bacalar,132,Asilé Hotel Boutique,1200 # 1375 # 1400 # 1400,8.1,8.1,Baño público # Papel higiénico # Toallas # Toallas / sábanas (por un suplemento) # Bañera o ducha # Baño privado # WC # Artículos de aseo gratis # Secador de pelo # Ducha # Ropa de cama # Armario # Vestidor # Mobiliario exterior # Terraza / solárium # Terraza # Enchufe cerca de la cama # Tour o clase sobre cultura localDe pago # Happy hourDe pago # Cenas temáticasFuera del alojamientoDe pago # Tours en biciDe pago # Tours a pieDe pago # Ruta de baresDe pago # Galerías de arte temporalesFuera del alojamiento # SnorkelFuera del alojamientoDe pago # WindsurfFuera del alojamientoDe pago # TV de pantalla plana # Canales por cable # Canales vía satélite # TV # Canales de pago # Vino / champánDe pago # Snack-bar # Bar # Restaurante # Servicio de traslado al aeropuertoDe pago # Tarjetas de transporte público # Proporciona factura # Servicio de conserjería # Información turística # Recepción 24 horas # Servicio de limpieza diario # Servicio de lavanderíaDe pago # Extintores # Cámaras de seguridad fuera del alojamiento # Cámaras de seguridad en las zonas comunitarias # Alarma de seguridad # Seguridad 24 horas # Caja fuerte # Servicio de entrega de comestiblesDe pago # Zona TV / salón de uso compartido # Traslado aeropuerto (de pago) # Zona de fumadores # Aire acondicionado # Prohibido fumar en todo el alojamiento # Mosquitera # Alquiler de coches # Almuerzos para llevar # Ventilador # Habitaciones familiares # Adaptado personas de movilidad reducida # Habitaciones sin humo # Plancha para ropa # Lavamanos más bajo # Adaptado para sillas de ruedas # Acceso a pisos superiores solo mediante escaleras # Inglés # Español,0,30,30
Bacalar,163,Blue Hotel,600 # 700,8.7,8.6,Papel higiénico # Toallas # Baño privado # WC # Artículos de aseo gratis # Secador de pelo # Armario # Vistas a un patio interior # Vistas a la montaña # Vistas al jardín # Patio # Jardín # Lavavajillas # Enchufe cerca de la cama # Tendedero # Escritorio # TV de pantalla plana # Canales por cable # TV # Minibar # Parking adaptado para personas de movilidad reducida # Parking en un garaje # Parking en la calle # Parking vigilado # Servicio de traslado al aeropuertoDe pago # Servicio de recogida en el aeropuertoDe pago # Proporciona factura # Guardaequipaje # Información turística # Recepción 24 horas # Plancha para pantalones # Servicio de lavanderíaDe pago # Extintores # Seguridad 24 horas # Traslado aeropuerto (de pago) # Servicio de traslado (de pago) # Zona de fumadores # Aire acondicionado # Mosquitera # Suelo de baldosa / mármol # Entrada privada # Suelo de moqueta # Ventilador # Habitaciones familiares # Adaptado personas de movilidad reducida # Plancha para pantalones # Habitaciones sin humo # Plancha para ropa # Lavamanos más bajo # WC elevado # Adaptado para sillas de ruedas # Inglés # Español,0,32,32
Bacalar,70,Hotel Circulo Bacalar,2500 # 2500 # 2600 # 2700 # 2800 # 3000 # 4000 # 6500,8.4,8.9,Abierta todo el año # Horario de apertura # Solo para adultos # Toallas de playa/piscina # Tumbonas/sillas de playa # Bar en la piscina # Sombrillas # Masaje corporal completoDe pago # Masaje de manosDe pago # Masaje de cabezaDe pago # Masaje en parejaDe pago # Masaje de piesDe pago # Masaje de cuelloDe pago # Masaje de espaldaDe pago # Sombrillas # Tumbonas/sillas de playa # Toallas de playa/piscina # Baño público # MasajesDe pago # Papel higiénico # Toallas # Bañera o ducha # Baño privado # WC # Artículos de aseo gratis # Secador de pelo # Ducha # Ropa de cama # Armario # Vistas a la piscina # Vistas al jardín # Chimenea exterior # Mobiliario exterior # Muebles de exterior # Terraza / solárium # Patio # Balcón # Terraza # Jardín # Productos de limpieza # Hervidor eléctrico # Enchufe cerca de la cama # Happy hourDe pago # Galerías de arte temporales # Vino / champánDe pago # Snack-bar # Bar # Restaurante # Minibar # Tetera / cafetera # Servicio de traslado al aeropuertoDe pago # Servicio de recogida en el aeropuertoDe pago # Proporciona factura # Registro de entrada / salida privado # Servicio de conserjería # Guardaequipaje # Información turística # Registro de entrada y salida exprés # Juegos de mesa / puzles # Servicio de limpieza diario # Extintores # Cámaras de seguridad fuera del alojamiento # Cámaras de seguridad en las zonas comunitarias # Detectores de humo # Seguridad 24 horas # Caja fuerte # Traslado aeropuerto (de pago) # Servicio de traslado (de pago) # Hipoalergénico # Zona de fumadores # Aire acondicionado # Habitaciones hipoalergénicas # Mosquitera # Calefacción # Entrada privada # Caja fuerte para ordenador portátil # Ventilador # Habitaciones familiares # Equipo de planchado # Habitaciones sin humo # Plancha para ropa # Servicio de habitaciones # Inglés # Español,4,33,33
Bacalar,45,Zensus Eco Boutique Hotel,1618 # 1798,9.7,9.6,Abierta todo el año # Horario de apertura # Para todas las edades # Tumbonas/sillas de playa # Piscina pequeña # Sombrillas # Tumbonas/sillas de playa # Mobiliario exterior # Terraza # Terraza / solárium # Balcón # Jardín # Vino / champánDe pago # Desayuno en la habitación # Restaurante # Traslado aeropuerto (de pago) # Información turística # Cambio de moneda # Recepción 24 horas # Extintores # Cámaras de seguridad fuera del alojamiento # Cámaras de seguridad en las zonas comunitarias # Detectores de humo # Alarma de seguridad # Seguridad 24 horas # Zona de fumadores # Aire acondicionado # Prohibido fumar en todo el alojamiento # Habitaciones hipoalergénicas # Habitaciones sin humo # Inglés # Español,0,34,34
Bacalar,3,PRIVATE HOUSE Bacalar Lagoon TOP Location,2915,10,10.0,Baño privado # Terraza # Vistas # Proporciona factura # Aire acondicionado # Habitaciones sin humo # Inglés # Español,3,35,35
Bacalar,138,Casa Coral,550 # 550 # 650 # 700 # 750 # 650 # 700 # 750 # 650 # 700 # 750 # 650 # 700 # 750,9.5,9.3,Papel higiénico # Toallas # Toallas / sábanas (por un suplemento) # Baño privado # WC # Artículos de aseo gratis # Ducha # Ropa de cama # Vistas al jardín # Zona de pícnic # Mobiliario exterior # Zona de comedor exterior # Terraza / solárium # Patio # Balcón # Jardín # Cocina compartida # Mesa de comedor # Productos de limpieza # Fogones # Utensilios de cocina # Cocina # Lavavajillas # Microondas # Nevera # Zona de cocina # Enchufe cerca de la cama # Tendedero # Zona de comedor # Zona de estar # Tetera / cafetera # Parking en un garaje # Servicio de traslado (de pago) # Información turística # Recepción 24 horas # Proporciona factura # Zona de fumadores # Aire acondicionado # Mosquitera # Entrada privada # Habitaciones familiares # Habitaciones sin humo # Inglés # Español,3,36,36
